iso2c,iso3c,country,year,life_expect,population,birth_rate,neonat_mortal_rate,region,income
AF,AFG,Afghanistan,2002,55.85719512,21487079,47.23,43.9,South Asia,Low income
AF,AFG,Afghanistan,1990,49.86104878,12067570,49.029,52.8,South Asia,Low income
AF,AFG,Afghanistan,1992,51.36292683,13745630,48.834,50.9,South Asia,Low income
AF,AFG,Afghanistan,2006,57.43256098,25183615,43.893,41,South Asia,Low income
AF,AFG,Afghanistan,2005,57.0272439,24399948,44.887,41.7,South Asia,Low income
AG,ATG,Antigua and Barbuda,1993,71.86585366,64868,19.274,12.9,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2007,74.80321951,84397,17.849,6.9,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1992,71.63470732,63434,19.047,13.5,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2006,74.61814634,83467,18.214,7.2,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2014,75.93763415,90900,16.319,5.1,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1991,71.40058537,62412,18.879,14.1,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1994,72.093,66550,19.54,12.3,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2013,75.77865854,89985,16.447,5.3,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1995,72.31768293,68349,19.816,11.7,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2015,,91818,,4.9,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2005,74.42543902,82565,18.599,7.5,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2002,73.81543902,80030,19.724,8.6,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2012,75.62180488,89069,16.594,5.5,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1996,72.53885366,70245,20.064,11.2,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1990,71.16295122,61906,18.779,14.7,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2008,74.97917073,85350,17.514,6.6,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2011,75.46602439,88152,16.763,5.8,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2010,75.30878049,87233,16.968,6,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2003,74.02178049,80904,19.374,8.2,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2001,73.60709756,78972,20.022,9,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2009,75.14702439,86300,17.218,6.3,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1999,73.18602439,76041,20.351,9.9,Latin America & Caribbean,Upper middle income
